v:X0014A,v:X0014B,v:X0014C,v:X0013A,v:X0013B,v:X0013C,c:X0013A:BUS8A,c:X0013B:BUS8B,c:X0013C:BUS8C,c:BUS9A:X0014A,c:BUS9B:X0014B,c:BUS9C:X0014C
368767.03,17374.695,-386141.72,382203.2,-7399.167,-374804.0,-256.31363,318.5394,-62.225746,86.33424,-354.19962,267.86536
359725.38,33787.582,-393512.97,373937.72,9076.951,-383014.7,-264.41623,314.09018,-49.673973,99.80921,-357.89883,258.0896
350172.56,50152.53,-400325.1,365141.0,25540.2,-390681.2,-272.14322,309.19485,-37.05164,113.14265,-361.0899,247.94727
340122.2,66446.31,-406568.5,355825.44,41967.227,-397792.66,-279.48376,303.86044,-24.376698,126.315575,-363.76825,237.45268
329588.47,82645.78,-412234.25,346004.28,58334.73,-404339.0,-286.4276,298.09476,-11.667171,139.30927,-365.93005,226.6208
318586.38,98727.94,-417314.3,335691.44,74619.47,-410310.9,-292.96503,291.90613,1.05888,152.10524,-367.57217,215.46693
307131.53,114669.94,-421801.47,324901.56,90798.28,-415699.84,-299.08682,285.30344,13.783387,164.68532,-368.69226,204.00696
295240.25,130449.14,-425689.38,313650.03,106848.164,-420498.2,-304.7843,278.296,26.488314,177.03159,-369.2887,192.25711
282929.34,146043.14,-428972.5,301952.8,122746.29,-424699.12,-310.0492,270.89352,39.155666,189.12653,-369.3606,180.23407
270216.34,161429.77,-431646.12,289826.53,138470.11,-428296.62,-314.87387,263.10638,51.76751,200.95294,-368.90787,167.95491
257119.33,176587.19,-433706.5,277288.34,153997.3,-431285.66,-319.25134,254.94537,64.30596,212.49405,-367.93112,155.43707
243656.84,191493.84,-435150.7,264356.06,169305.86,-433661.9,-323.17523,246.422,76.75324,223.73341,-366.4317,142.69829
229848.05,206128.58,-435976.62,251048.02,184374.02,-435422.03,-326.63992,237.54828,89.09166,234.65512,-364.41177,129.75667
215712.55,220470.6,-436183.12,237383.14,199180.34,-436563.5,-329.64047,228.33676,101.303696,245.2436,-361.87415,116.630554
201270.4,234499.52,-435769.9,223380.88,213703.8,-437084.7,-332.1725,218.80049,113.37199,255.48384,-358.82242,103.33857
186542.16,248195.4,-434737.56,209061.12,227923.72,-436984.84,-334.23233,208.95293,125.27939,265.36127,-355.2608,89.89955
171548.69,261538.8,-433087.47,194444.19,241819.9,-436264.1,-335.81705,198.80807,137.00897,274.86182,-351.1944,76.332565
156311.33,274510.72,-430822.06,179550.83,255372.66,-434923.47,-336.9245,188.38043,148.54407,283.972,-346.62885,62.656853
140851.7,287092.75,-427944.47,164402.17,268562.72,-432964.88,-337.5532,177.68494,159.86824,292.67877,-341.5706,48.891815
125191.805,299267.0,-424458.78,149019.75,281371.34,-430391.1,-337.70236,166.73695,170.96542,300.96982,-336.0268,35.056976
109353.85,311016.12,-420369.97,133425.44,293780.28,-427205.72,-337.37192,155.5521,181.81984,308.83325,-330.00522,21.171984
93360.37,322323.4,-415683.78,117641.43,305771.84,-423413.28,-336.56232,144.14621,192.4161,316.25784,-323.5144,7.256542
77234.086,333172.78,-410406.88,101690.16,317329.03,-419019.2,-335.27463,132.53539,202.73923,323.23303,-316.56348,-6.669571
60997.92,343548.8,-404546.72,85594.266,328435.34,-414029.62,-333.51053,120.73596,212.77457,329.7488,-309.16223,-20.586586
44674.965,353436.7,-398111.66,69376.62,339075.1,-408451.72,-331.2725,108.76462,222.50787,335.79584,-301.32114,-34.47471
28288.418,362822.34,-391110.75,53060.234,349233.12,-402293.34,-328.5636,96.638275,231.92532,341.36548,-293.05127,-48.31421
11861.586,371692.4,-383554.0,36668.324,358894.97,-395563.28,-325.3876,84.374115,241.0135,346.44974,-284.36435,-62.08539
-4582.168,380034.25,-375452.1,20224.205,368046.88,-388271.06,-321.749,71.98948,249.7595,351.04132,-275.27267,-75.76867
